dataset,encoder,n_qubits,seed,epochs,lr,train_loss,train_acc,test_loss,test_acc,n_encoder_params,n_ansatz_params,elapsed_s
wine,learned,8,0,30,0.05,0.5221575498580933,0.8028169014084507,0.4597437083721161,0.8055555555555556,32,16,243.89693188667297
wine,fixed_angle,10,0,30,0.05,0.6566706299781799,0.7746478873239436,0.5676814317703247,0.8055555555555556,0,20,174.59758281707764
wine,fixed_amplitude,10,0,30,0.05,1.085159182548523,0.4014084507042254,1.0898308753967285,0.3888888888888889,0,20,162.77432775497437
wine,learned,10,0,30,0.05,0.5249960422515869,0.7887323943661971,0.520116925239563,0.7777777777777778,40,20,304.87692165374756
seeds,fixed_angle,4,0,30,0.05,0.6090770363807678,0.7380952380952381,0.5933518409729004,0.7380952380952381,0,8,68.58183717727661
seeds,fixed_amplitude,4,0,30,0.05,0.935235321521759,0.6666666666666666,0.8783230781555176,0.6666666666666666,0,8,56.75295686721802
seeds,learned,4,0,30,0.05,0.31489700078964233,0.8809523809523809,0.38639554381370544,0.8333333333333334,16,8,103.99426293373108
seeds,fixed_angle,6,0,30,0.05,0.6091023087501526,0.7380952380952381,0.5933781266212463,0.7380952380952381,0,12,101.69485425949097
seeds,fixed_amplitude,6,0,30,0.05,1.110788106918335,0.3333333333333333,1.110788106918335,0.3333333333333333,0,12,91.29152393341064
seeds,learned,6,0,30,0.05,0.3602016866207123,0.8630952380952381,0.4293457567691803,0.8333333333333334,24,12,151.93915224075317
seeds,fixed_angle,8,0,30,0.05,0.6091684103012085,0.7380952380952381,0.5933306813240051,0.7380952380952381,0,16,132.98302292823792
seeds,fixed_amplitude,8,0,30,0.05,1.1111340522766113,0.3333333333333333,1.1111340522766113,0.3333333333333333,0,16,134.3787968158722
seeds,learned,8,0,30,0.05,0.30488306283950806,0.8809523809523809,0.35161063075065613,0.8809523809523809,32,16,275.57432794570923
seeds,fixed_angle,10,0,30,0.05,0.6091594696044922,0.7380952380952381,0.593345046043396,0.7380952380952381,0,20,196.5472571849823
seeds,fixed_amplitude,10,0,30,0.05,1.1098856925964355,0.3333333333333333,1.1098856925964355,0.3333333333333333,0,20,169.15082812309265
seeds,learned,10,0,30,0.05,0.34301483631134033,0.8630952380952381,0.3785989582538605,0.8571428571428571,40,20,265.9583249092102
breast_cancer,fixed_angle,4,0,30,0.05,0.37320804595947266,0.8461538461538461,0.3964531421661377,0.8596491228070176,0,8,126.9776258468628
breast_cancer,fixed_amplitude,4,0,30,0.05,0.5316399335861206,0.7582417582417582,0.555044949054718,0.7280701754385965,0,8,116.35285496711731
breast_cancer,learned,4,0,30,0.05,0.2990444004535675,0.8703296703296703,0.3177516460418701,0.8771929824561403,16,8,216.28450512886047
breast_cancer,fixed_angle,6,0,30,0.05,0.3727126717567444,0.8461538461538461,0.3957529366016388,0.868421052631579,0,12,207.91416382789612
breast_cancer,fixed_amplitude,6,0,30,0.05,0.6313616633415222,0.6571428571428571,0.6222897171974182,0.6754385964912281,0,12,184.95354771614075
breast_cancer,learned,6,0,30,0.05,0.278226763010025,0.8901098901098901,0.297056645154953,0.8947368421052632,24,12,352.80108880996704
breast_cancer,fixed_angle,8,0,30,0.05,0.37324491143226624,0.8461538461538461,0.396497517824173,0.8596491228070176,0,16,287.79560232162476
breast_cancer,fixed_amplitude,8,0,30,0.05,0.6608688831329346,0.6263736263736264,0.658128023147583,0.631578947368421,0,16,270.91683888435364
breast_cancer,learned,8,0,30,0.05,0.29799550771713257,0.8703296703296703,0.3155798017978668,0.8771929824561403,32,16,556.4700739383698
breast_cancer,fixed_angle,10,0,30,0.05,0.37330362200737,0.8461538461538461,0.3965604901313782,0.8596491228070176,0,20,425.38525319099426
